gravedad,fecha,a_o,hora,jornada,dia_semana,barrios_corregimiento_via,direccion,zona,autoridad,lat,long,condicion_de_la_victima,clase_de_siniestro,genero,lesionado,homicidios,clinica,clase_vehiculo,marca,tipo_de_servicio,empresa
HERIDOS,2021-01-05T00:00:00.000,2021,,MAÑANA,MARTES,LORRETO,CALLE 36 CARRERA 35,URBANA,TECNICO,"3,53408","-76,30572",MOTOCICLISTA,CHOQUE,FEMENINA,1,NO APLICA,SANTA BARBARA,MOTO,VICTORY,PARTICULAR,NO APLICA
HERIDOS,2021-01-05T00:00:00.000,2021,,MAÑANA,MARTES,SANTA BARBARA,CALLE 31 CARRERA 41,URBANA,TECNICO,"3,5298","-76,31144",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,RENAULT,PARTICULAR,NO APLICA
HERIDOS,2021-01-05T00:00:00.000,2021,,MAÑANA,MARTES,SANTA BARBARA,CALLE 31 CARRERA 41,URBANA,TECNICO,"3,5298","-76,31144",MOTOCICLISTA,CHOQUE,FEMENINA,1,NO APLICA,PALMA,MOTO,SUZUKI,PARTICULAR,NO APLICA
DAÑOS,2021-01-06T00:00:00.000,2021,,TARDE,MIERCOLES,PRIMERO DE MAYO,CALLE 42 CARRERA 9,URBANA,TECNICO,"3,53694","-76,28184",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,CAMIONETA,NISSAN,PARTICULAR,NO APLICA
DAÑOS,2021-01-06T00:00:00.000,2021,,TARDE,MIERCOLES,PRIMERO DE MAYO,CALLE 42 CARRERA 9,URBANA,TECNICO,"3,53694","-76,28184",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,MOTO,HONDA,PARTICULAR,NO APLICA
DAÑOS,2021-01-06T00:00:00.000,2021,,TARDE,MIERCOLES,SAMANES,CARRERA 28 CALLE 48-60,URBANA,TECNICO,"3,54275","-76,29645",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,MOTO,HERO,PARTICULAR,NO APLICA
HERIDOS,2021-02-18T00:00:00.000,2021,,TARDE,JUEVES,CENTRO,CALLE 29 CARRERA 29,URBANA,TECNICO,"3,5262","-76,29994",MOTOCICLISTA,CHOQUE,MASCULINO,1,NO APLICA,PALMA,MOTO,HONDA,PARTICULAR,NO APLICA
DAÑOS,2021-01-06T00:00:00.000,2021,,TARDE,MIERCOLES,SAMANES,CARRERA 28 CALLE 48-60,URBANA,TECNICO,"3,54275","-76,29645",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,KIA,PUBLICO,NO APLICA
DAÑOS,2021-01-06T00:00:00.000,2021,,TARDE,MIERCOLES,SAN CAYETANO,CARRERA 24 CALLE 38,URBANA,TECNICO,"3,53381","-76,28996",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,CAMIONETA,RENAULT,OFICIAL,NO APLICA
DAÑOS,2021-01-06T00:00:00.000,2021,,TARDE,MIERCOLES,SAN CAYETANO,CARRERA 24 CALLE 38,URBANA,TECNICO,"3,53381","-76,28996",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,HYUNDAI,PARTICULAR,NO APLICA
HERIDOS,2021-01-06T00:00:00.000,2021,,TARDE,MIERCOLES,SAMANES,CARRERA 28 CALLE 48-60,URBANA,TECNICO,"3,54275","-76,29645",MOTOCICLISTA,CHOQUE,MASCULINO,1,NO APLICA,PALMA,MOTO,AKT,PARTICULAR,NO APLICA
HERIDOS,2021-01-06T00:00:00.000,2021,,TARDE,MIERCOLES,SAMANES,CARRERA 28 CALLE 48-60,URBANA,TECNICO,"3,54275","-76,29645",CICLISTA,CHOQUE,MASCULINO,1,NO APLICA,PALMA,BICICLETA,NO APLICA,PARTICULAR,NO APLICA
HERIDOS,2021-01-06T00:00:00.000,2021,,TARDE,MIERCOLES,SAMANES,CARRERA 28 CALLE 48-60,URBANA,TECNICO,"3,54275","-76,29645",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,KIA,PUBLICO,NO APLICA
DAÑOS,2021-01-07T00:00:00.000,2021,,MADRUGADA,JUEVES,MIRRIÑAO,CALLLE 60 CARRERA 34A-34B,URBANA,TECNICO,"3,5508","-76,30378",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,VOLKSWAGEN,PARTICULAR,NO APLICA
HERIDOS,2021-01-01T00:00:00.000,2021,,TARDE,VIERNES,CENTRO POBLADO ROZO,CALLE 10 N 15A-059 LA TORRE,RURAL,TECNICO,"3,61515","-76,39078",MOTOCICLISTA,CHOQUE,MASCULINO,1,NO APLICA,REMEDIOS CALI,MOTO,AKT,PARTICULAR,NO APLICA
HERIDOS,2021-01-01T00:00:00.000,2021,,TARDE,VIERNES,CENTRO POBLADO ROZO,CALLE 10 N 15A-059 LA TORRE,RURAL,TECNICO,"3,61515","-76,39078",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,MOTO,SUZUKI,PARTICULAR,NO APLICA
HERIDOS,2021-01-01T00:00:00.000,2021,,TARDE,VIERNES,CENTRO POBLADO ROZO,CALLE 10 N 15A-059 LA TORRE,RURAL,TECNICO,"3,61515","-76,39078",ACOMPAÑANTE MOTOCICLISTA,CHOQUE,FEMENINA,1,NO APLICA,REMEDIOS CALI,NO APLICA,NO APLICA,NO APLICA,NO APLICA
HERIDOS,2021-01-05T00:00:00.000,2021,,TARDE,MARTES,CORRERIMIENTO GUANABANAL,KM 900 + ENTRADA,RURAL,TECNICO,"3,50437","-76,42629",MOTOCICLISTA,CHOQUE,MASCULINO,1,NO APLICA,REMEDIOS CALI,MOTO,HONDA,PARTICULAR,NO APLICA
HERIDOS,2021-01-05T00:00:00.000,2021,,TARDE,MARTES,CORRERIMIENTO GUANABANAL,KM 900 + ENTRADA,RURAL,TECNICO,"3,50437","-76,42629",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,BUS,HYUNDAI,PUBLICO,TRANSPUNION DE TAXIS
DAÑOS,2021-01-07T00:00:00.000,2021,,MAÑANA,JUEVES,PRADO,CALLE 35 CARRERA 41,URBANA,TECNICO,"3,53229","-76,31134",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,MOTO,WEST,PARTICULAR,NO APLICA
DAÑOS,2021-01-07T00:00:00.000,2021,,MAÑANA,JUEVES,PRADO,CALLE 35 CARRERA 41,URBANA,TECNICO,"3,53229","-76,31134",NO APLICA,CHOQUE,FEMENINA,NO APLICA,NO APLICA,NO APLICA,CAMIONETA,RENAULT,PARTICULAR,NO APLICA
DAÑOS,2021-01-07T00:00:00.000,2021,,MAÑANA,JUEVES,COLOMBINA,CARRERA 18 CALLE 30,URBANA,TECNICO,"3,52591","-76,2905",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,CAMIONETA,NISSAN,PARTICULAR,NO APLICA
DAÑOS,2021-01-07T00:00:00.000,2021,,MAÑANA,JUEVES,COLOMBINA,CARRERA 18 CALLE 30,URBANA,TECNICO,"3,52591","-76,2905",NO APLICA,CHOQUE,FEMENINA,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,CHEVROLET,PARTICULAR,NO APLICA
DAÑOS,2021-01-08T00:00:00.000,2021,,MAÑANA,VIERNES,SANTA RITA,CARRERA 27 CALLE 38,URBANA,TECNICO,"3,53468","-76,29676",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,CAMPERO,ARO,PARTICULAR,NO APLICA
DAÑOS,2021-01-08T00:00:00.000,2021,,MAÑANA,VIERNES,SANTA RITA,CARRERA 27 CALLE 38,URBANA,TECNICO,"3,53468","-76,29676",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,HYUNDAI,PUBLICO,UNITAX
HERIDOS,2021-01-07T00:00:00.000,2021,,TARDE,JUEVES,JARDIN,CALLE 33C CARRERA 2,URBANA,TECNICO,"3,52806","-76,2762",CONDUCTOR,CHOQUE,MASCULINO,1,NO APLICA,PALMA,AUTOMOVIL,RENAULT,PARTICULAR,NO APLICA
HERIDOS,2021-01-07T00:00:00.000,2021,,TARDE,JUEVES,JARDIN,CALLE 33C CARRERA 2,URBANA,TECNICO,"3,52806","-76,2762",MOTOCICLISTA,CHOQUE,MASCULINO,1,NO APLICA,PALMA,MOTO,HERO,PARTICULAR,NO APLICA
HERIDOS,2021-01-07T00:00:00.000,2021,,TARDE,JUEVES,JARDIN,CALLE 33C CARRERA 2,URBANA,TECNICO,"3,52806","-76,2762",ACOMPAÑANTE MOTOCICLISTA,CHOQUE,MASCULINO,1,NO APLICA,PALMA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
HERIDOS,2021-01-07T00:00:00.000,2021,,TARDE,JUEVES,JARDIN,CALLE 33C CARRERA 2,URBANA,TECNICO,"3,52806","-76,2762",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,MOTO,AKT,PARTICULAR,NO APLICA
MUERTO,2021-01-02T00:00:00.000,2021,,MADRUGADA,SABADO,CENTRO POBLADO ROZO,AVENIDAD 9 CALLE 13-295,RURAL,TECNICO,"3,61555","-76,38897",MOTOCICLISTA,CHOQUE,MASCULINO,NO APLICA,1,NO APLICA,MOTO,KIMCO,PARTICULAR,NO APLICA
MUERTO,2021-01-02T00:00:00.000,2021,,MADRUGADA,SABADO,CENTRO POBLADO ROZO,AVENIDAD 9 CALLE 13-295,RURAL,TECNICO,"3,61555","-76,38897",MOTOCICLISTA,CHOQUE,MASCULINO,1,NO APLICA,PALMA,MOTO,YAMAHA,PARTICULAR,NO APLICA
MUERTO,2021-01-02T00:00:00.000,2021,,MADRUGADA,SABADO,CENTRO POBLADO ROZO,AVENIDAD 9 CALLE 13-295,RURAL,TECNICO,"3,61555","-76,38897",ACOMPAÑANTE MOTOCICLISTA,CHOQUE,MASCULINO,1,NO APLICA,PALMA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
DAÑOS,2021-01-09T00:00:00.000,2021,,TARDE,SABADO,COLOMBINA,CALLE 30 CARRERA 18,URBANA,TECNICO,"3,52591","-76,2905",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,RENAULT,PARTICULAR,NO APLICA
DAÑOS,2021-01-09T00:00:00.000,2021,,TARDE,SABADO,COLOMBINA,CALLE 30 CARRERA 18,URBANA,TECNICO,"3,52591","-76,2905",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,MOTO,BAJAJ,PARTICULAR,NO APLICA
HERIDOS,2021-01-09T00:00:00.000,2021,,TARDE,SABADO,COLOMBINA,CALLE 30 CARRERA 17,URBANA,TECNICO,"3,52578","-76,28961",NO APLICA,CHOQUE,FEMENINA,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,VOLKSWAGEN,PARTICULAR,NO APLICA
HERIDOS,2021-01-09T00:00:00.000,2021,,TARDE,SABADO,COLOMBINA,CALLE 30 CARRERA 17,URBANA,TECNICO,"3,52578","-76,28961",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,MOTO,AKT,PARTICULAR,NO APLICA
HERIDOS,2021-01-09T00:00:00.000,2021,,TARDE,SABADO,COLOMBINA,CALLE 30 CARRERA 17,URBANA,TECNICO,"3,52578","-76,28961",MOTOCICLISTA,CHOQUE,MASCULINO,1,NO APLICA,PALMA,MOTO,VICTORY,PARTICULAR,NO APLICA
HERIDOS,2021-01-09T00:00:00.000,2021,,TARDE,SABADO,COLOMBINA,CALLE 30 CARRERA 17,URBANA,TECNICO,"3,52578","-76,28961",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,CHEVROLET,PUBLICO,NO APLICA
HERIDOS,2021-01-10T00:00:00.000,2021,,NOCHE,DOMINGO,ZAMORANO,DIAGONAL 65 CARRERA 33,URBANA,TECNICO,"3,55811","-76,29934",MOTOCICLISTA,CHOQUE,MASCULINO,1,NO APLICA,PALMA,MOTO,SUZUKI,PARTICULAR,NO APLICA
HERIDOS,2021-01-10T00:00:00.000,2021,,NOCHE,DOMINGO,ZAMORANO,DIAGONAL 65 CARRERA 33,URBANA,TECNICO,"3,55811","-76,29934",MOTOCICLISTA,CHOQUE,MASCULINO,1,NO APLICA,RAUL,MOTO,HONDA,PARTICULAR,NO APLICA
HERIDOS,2021-01-11T00:00:00.000,2021,,MAÑANA,LUNES,COLOMBINA,CARRERA 18 CALLE 28,URBANA,TECNICO,"3,52431","-76,29073",NO APLICA,CHOQUE,FEMENINA,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,CHEVROLET,PARTICULAR,NO APLICA
HERIDOS,2021-01-11T00:00:00.000,2021,,MAÑANA,LUNES,COLOMBINA,CARRERA 18 CALLE 28,URBANA,TECNICO,"3,52431","-76,29073",MOTOCICLISTA,CHOQUE,MASCULINO,1,NO APLICA,PALMA,MOTO,HONDA,PARTICULAR,NO APLICA
MUERTO,2021-01-12T00:00:00.000,2021,,MAÑANA,MARTES,URIBE,CARRERA 23 CALLE 32A,URBANA,TECNICO,"3,52847","-76,29444",MOTOCICLISTA,CHOQUE,MASCULINO,NO APLICA,1,PALMIRA,MOTO,SUZUKI,PARTICULAR,NO APLICA
MUERTO,2021-01-12T00:00:00.000,2021,,MAÑANA,MARTES,URIBE,CARRERA 23 CALLE 32A,URBANA,TECNICO,"3,52847","-76,29444",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,MAZDA,PARTICULAR,NO APLICA
HERIDOS,2021-01-12T00:00:00.000,2021,,MAÑANA,MARTES,ZAMORANO,DIAGONAL 62A CARRERA 32-68,URBANA,TECNICO,"3,55658","-76,3007",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,HYUNDAI,PARTICULAR,NO APLICA
HERIDOS,2021-01-12T00:00:00.000,2021,,MAÑANA,MARTES,ZAMORANO,DIAGONAL 62A CARRERA 32-68,URBANA,TECNICO,"3,55658","-76,3007",PEATON,CHOQUE,MASCULINO,1,NO APLICA,PALMA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
DAÑOS,2021-01-12T00:00:00.000,2021,,TARDE,MARTES,VERSALLES,CALLE 42 CARRERA 27-26,URBANA,TECNICO,"3,53783","-76,29594",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,RENAULT,PARTICULAR,NO APLICA
DAÑOS,2021-01-12T00:00:00.000,2021,,TARDE,MARTES,VERSALLES,CALLE 42 CARRERA 27-26,URBANA,TECNICO,"3,53783","-76,29594",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,MOTO,HERO,PARTICULAR,NO APLICA
DAÑOS,2021-01-13T00:00:00.000,2021,,NOCHE,MIERCOLES,SAN PEDRO,CARRERA 19 CALLE 42,URBANA,TECNICO,"3,53711","-76,29063",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,CHEVROLET,PARTICULAR,NO APLICA
DAÑOS,2021-01-13T00:00:00.000,2021,,NOCHE,MIERCOLES,SAN PEDRO,CARRERA 19 CALLE 42,URBANA,TECNICO,"3,53711","-76,29063",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,CHEVROLET,PARTICULAR,NO APLICA
HERIDOS,2021-01-13T00:00:00.000,2021,,TARDE,MIERCOLES,ITALIA,DIAGONAL 28 CALLE 6,URBANA,TECNICO,"3,50553","-76,29887",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,DAEWOO,PARTICULAR,NO APLICA
HERIDOS,2021-01-13T00:00:00.000,2021,,TARDE,MIERCOLES,ITALIA,DIAGONAL 28 CALLE 6,URBANA,TECNICO,"3,50553","-76,29887",MOTOCICLISTA,CHOQUE,MASCULINO,1,NO APLICA,PALMIRA,MOTO,BAJAJ,PARTICULAR,NO APLICA
HERIDOS,2021-01-13T00:00:00.000,2021,,TARDE,MIERCOLES,RECREO,CALLE 18 CARRERA 26,URBANA,TECNICO,"3,5169","-76,29895",MOTOCICLISTA,CHOQUE,MASCULINO,1,NO APLICA,PALMIRA,MOTO,HERO,PARTICULAR,NO APLICA
HERIDOS,2021-01-13T00:00:00.000,2021,,TARDE,MIERCOLES,RECREO,CALLE 18 CARRERA 26,URBANA,TECNICO,"3,5169","-76,29895",MOTOCICLISTA,CHOQUE,FEMENINA,NO APLICA,NO APLICA,NO APLICA,CAMIONETA,RENAULT,PARTICULAR,NO APLICA
HERIDOS,2021-01-13T00:00:00.000,2021,,NOCHE,MIERCOLES,ESTONIA,CALLE 47 CARRERA 30,URBANA,TECNICO,"3,5423","-76,29817",MOTOCICLISTA,CHOQUE,MASCULINO,1,NO APLICA,PALMA,MOTO,YAMAHA,PARTICULAR,NO APLICA
HERIDOS,2021-01-13T00:00:00.000,2021,,NOCHE,MIERCOLES,ESTONIA,CALLE 47 CARRERA 30,URBANA,TECNICO,"3,5423","-76,29817",MOTOCICLISTA,CHOQUE,MASCULINO,1,NO APLICA,PALMA,MOTO,SUZUKI,PARTICULAR,NO APLICA
DAÑOS,2021-01-13T00:00:00.000,2021,,TARDE,MIERCOLES,SANTA BARBARA,PARQUIADERO CENTRO COMERCIAL LLANO GRANDE,URBANA,TECNICO,"3,52805","-76,31758",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,CHEVROLET,PARTICULAR,NO APLICA
DAÑOS,2021-01-13T00:00:00.000,2021,,TARDE,MIERCOLES,SANTA BARBARA,PARQUIADERO CENTRO COMERCIAL LLANO GRANDE,URBANA,TECNICO,"3,52805","-76,31758",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,CAMIONETA,FORD,PARTICULAR,NO APLICA
DAÑOS,2021-01-14T00:00:00.000,2021,,MAÑANA,JUEVES,CENTRO,CALLE 28 CARRERA 33,URBANA,TECNICO,"3,52595","-76,30352",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,CAMIONETA,KIA,PARTICULAR,NO APLICA
DAÑOS,2021-01-14T00:00:00.000,2021,,TARDE,JUEVES,VERSALLES,CARRERA 28 CALLE 42-43,URBANA,TECNICO,"3,53863","-76,29712",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,RENAULT,PARTICULAR,NO APLICA
DAÑOS,2021-01-14T00:00:00.000,2021,,TARDE,JUEVES,VERSALLES,CARRERA 28 CALLE 42-43,URBANA,TECNICO,"3,53863","-76,29712",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,BUSETA,NOAL PLUS,PUBLICO,COODETRASN PALMIRA
HERIDOS,2021-01-15T00:00:00.000,2021,,MADRUGADA,VIERNES,AMERICAS,CARRERA 24 CALLE 14,URBANA,TECNICO,"3,51299","-76,29587",MOTOCICLISTA,CHOQUE,MASCULINO,1,NO APLICA,PALMA,MOTO,SUZUKI,PARTICULAR,NO APLICA
HERIDOS,2021-01-14T00:00:00.000,2021,,NOCHE,JUEVES,COLOMBIA,CALLE 33 CARRERA 33,URBANA,TECNICO,"3,53104","-76,303",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,BUSETA,CHEVROLET,PUBLICO,NO APLICA
HERIDOS,2021-01-14T00:00:00.000,2021,,NOCHE,JUEVES,COLOMBIA,CALLE 33 CARRERA 33,URBANA,TECNICO,"3,53104","-76,303",MOTOCICLISTA,CHOQUE,MASCULINO,1,NO APLICA,PALMA,MOTO,BAJAJ,PARTICULAR,NO APLICA
HERIDOS,2021-01-14T00:00:00.000,2021,,NOCHE,JUEVES,TREBOL,CARRERA 23 CALLE 27,URBANA,TECNICO,"3,52388","-76,29508",MOTOCICLISTA,CHOQUE,MASCULINO,1,NO APLICA,RAUL,MOTO,JIANLING,PARTICULAR,NO APLICA
