a_o,ipat,clase_siniestro,fecha,hora,jornada,dia_semana,barrios_corregimiento_via,direccion,zona,autoridad,lat,long,hipotesis,codigo,condicion_de_la_victima,edad,genero,lesionados_y_muertos
2022.0,8451.0,CHOQUE,2022-01-01 00:00:00,,NOCHE,SÁBADO,COLOMBIA,CARRERA 32 CALLE 35,URBANA,TECNICO,,,DESOBEDECER SEÑAL DE PARE,112.0,MOTOCICLISTA,65.0,MASCULINO,LESIONADO
2022.0,8451.0,CHOQUE,2022-01-01 00:00:00,,NOCHE,SÁBADO,COLOMBIA,CARRERA 32 CALLE 35,URBANA,TECNICO,,,DESOBEDECER SEÑAL DE PARE,112.0,NO APLICA,21.0,MASCULINO,NO APLICA
2022.0,8453.0,CHOQUE OBJETO FIJO ARBOL,2022-01-02 00:00:00,,MADRUGADA,DOMINGO,VIA CORONADO ROZO,KM 1,RURAL,TECNICO,,,PERDIDA DEL CONTROL DEL VEHICULO,157.0,MOTOCICLISTA,26.0,MASCULINO,LESIONADO
2022.0,8455.0,CHOQUE,2022-01-03 00:00:00,,TARDE,LUNES,COLOMBIA,CARRERA 31 CALLE 33,URBANA,TECNICO,,,SEMAFORO EN ROJO,142.0,ACOMPAÑANTE MOTOCICLISTA,39.0,FEMENINO,LESIONADO
2022.0,8455.0,CHOQUE,2022-01-03 00:00:00,,TARDE,LUNES,COLOMBIA,CARRERA 31 CALLE 33,URBANA,TECNICO,,,SEMAFORO EN ROJO,142.0,MOTOCICLISTA,64.0,MASCULINO,LESIONADO
2022.0,8455.0,CHOQUE,2022-01-03 00:00:00,,TARDE,LUNES,COLOMBIA,CARRERA 31 CALLE 33,URBANA,TECNICO,,,SEMAFORO EN ROJO,142.0,NO APLICA,34.0,MASCULINO,NO APLICA
2022.0,8456.0,CHOQUE,2022-01-03 00:00:00,,NOCHE,LUNES,COLOMBIA,CARRERA 31 CALLE 36,URBANA,TECNICO,,,SEMAFORO EN ROJO,142.0,ACOMPAÑANTE MOTOCICLISTA,57.0,FEMENINO,MUERTO
2022.0,8456.0,CHOQUE,2022-01-03 00:00:00,,NOCHE,LUNES,COLOMBIA,CARRERA 31 CALLE 36,URBANA,TECNICO,,,SEMAFORO EN ROJO,142.0,MOTOCICLISTA,23.0,FEMENINO,LESIONADO
2022.0,8456.0,CHOQUE,2022-01-03 00:00:00,,NOCHE,LUNES,COLOMBIA,CARRERA 31 CALLE 36,URBANA,TECNICO,,,SEMAFORO EN ROJO,142.0,NO APLICA,28.0,MASCULINO,NO APLICA
2022.0,8458.0,CHOQUE,2022-01-04 00:00:00,,MAÑANA,MARTES,RECREO,CALLE 22 CARRERA 27,URBANA,TECNICO,,,DESOBEDECER SEÑAL DE PARE,112.0,MOTOCICLISTA,48.0,FEMENINO,LESIONADO
2022.0,8458.0,CHOQUE,2022-01-04 00:00:00,,MAÑANA,MARTES,RECREO,CALLE 22 CARRERA 27,URBANA,TECNICO,,,DESOBEDECER SEÑAL DE PARE,112.0,MOTOCICLISTA,29.0,MASCULINO,NO APLICA
2022.0,8460.0,CHOQUE,2022-01-06 00:00:00,,MAÑANA,JUEVES,BARRIO NUEVO,CARRERA 33 CALLE 26,URBANA,TECNICO,,,DESOBEDECER SEÑAL DE PARE,112.0,ACOMPAÑANTE MOTOCICLISTA,51.0,FEMENINO,LESIONADO
2022.0,8460.0,CHOQUE,2022-01-06 00:00:00,,MAÑANA,JUEVES,BARRIO NUEVO,CARRERA 33 CALLE 26,URBANA,TECNICO,,,DESOBEDECER SEÑAL DE PARE,112.0,MOTOCICLISTA,43.0,MASCULINO,LESIONADO
2022.0,8460.0,CHOQUE,2022-01-06 00:00:00,,MAÑANA,JUEVES,BARRIO NUEVO,CARRERA 33 CALLE 26,URBANA,TECNICO,,,DESOBEDECER SEÑAL DE PARE,112.0,MOTOCICLISTA,48.0,MASCULINO,LESIONADO
2022.0,8460.0,CHOQUE,2022-01-06 00:00:00,,MAÑANA,JUEVES,BARRIO NUEVO,CARRERA 33 CALLE 26,URBANA,TECNICO,,,DESOBEDECER SEÑAL DE PARE,112.0,ACOMPAÑANTE MOTOCICLISTA,25.0,FEMENINO,LESIONADO
2022.0,8471.0,CHOQUE,2022-01-12 00:00:00,,MAÑANA,MIÉRCOLES,BARRIO NUEVO,CARRERA 31 CALLE 20,URBANA,TECNICO,,,DESOBEDECER SEÑAL DE PARE,112.0,NO APLICA,23.0,MASCULINO,NO APLICA
2022.0,8471.0,CHOQUE,2022-01-12 00:00:00,,MAÑANA,MIÉRCOLES,BARRIO NUEVO,CARRERA 31 CALLE 20,URBANA,TECNICO,,,DESOBEDECER SEÑAL DE PARE,112.0,NO APLICA,22.0,FEMENINO,NO APLICA
2022.0,8471.0,CHOQUE,2022-01-12 00:00:00,,MAÑANA,MIÉRCOLES,BARRIO NUEVO,CARRERA 31 CALLE 20,URBANA,TECNICO,,,DESOBEDECER SEÑAL DE PARE,112.0,ACOMPAÑANTE MOTOCICLISTA,53.0,FEMENINO,LESIONADO
2022.0,8476.0,CHOQUE,2022-01-14 00:00:00,,NOCHE,VIERNES,MUNICIPAL,CARRERA 1 CALLE 30,URBANA,TECNICO,,,NO RESPETAR PRELACIÓN,132.0,CICLISTA,18.0,MASCULINO,LESIONADO
2022.0,8476.0,CHOQUE,2022-01-14 00:00:00,,NOCHE,VIERNES,MUNICIPAL,CARRERA 1 CALLE 30,URBANA,TECNICO,,,NO RESPETAR PRELACIÓN,132.0,NO APLICA,37.0,FEMENINO,NO APLICA
2022.0,8477.0,CHOQUE,2022-01-15 00:00:00,,MAÑANA,SÁBADO,ALTAMIRA,CALLE 47 CARRERA 26,URBANA,TECNICO,,,GIRAR BRUSCAMENTE,122.0,NO APLICA,66.0,FEMENINO,NO APLICA
2022.0,8477.0,CHOQUE,2022-01-15 00:00:00,,MAÑANA,SÁBADO,ALTAMIRA,CALLE 47 CARRERA 26,URBANA,TECNICO,,,GIRAR BRUSCAMENTE,122.0,MOTOCICLISTA,22.0,MASCULINO,LESIONADO
2022.0,8480.0,CHOQUE,2022-01-17 00:00:00,,MAÑANA,LUNES,BARRIO NUEVO,CARRERA 32 CALLE 23,URBANA,TECNICO,,,ADELANTAR POR LA DERECHA,102.0,MOTOCICLISTA,24.0,MASCULINO,LESIONADO
2022.0,8480.0,CHOQUE,2022-01-17 00:00:00,,MAÑANA,LUNES,BARRIO NUEVO,CARRERA 32 CALLE 23,URBANA,TECNICO,,,ADELANTAR POR LA DERECHA,102.0,NO APLICA,50.0,FEMENINO,NO APLICA
2022.0,8481.0,CHOQUE,2022-01-17 00:00:00,,MAÑANA,LUNES,CENTRO,CALLE 27 CARRERA 33,URBANA,TECNICO,,,DESOBEDECER SEÑAL DE PARE,112.0,ACOMPAÑANTE CONDUCTOR,25.0,MASCULINO,LESIONADO
2022.0,8481.0,CHOQUE,2022-01-17 00:00:00,,MAÑANA,LUNES,CENTRO,CALLE 27 CARRERA 33,URBANA,TECNICO,,,DESOBEDECER SEÑAL DE PARE,112.0,NO APLICA,37.0,MASCULINO,NO APLICA
2022.0,8481.0,CHOQUE,2022-01-17 00:00:00,,MAÑANA,LUNES,CENTRO,CALLE 27 CARRERA 33,URBANA,TECNICO,,,DESOBEDECER SEÑAL DE PARE,112.0,CONDUCTOR,37.0,MASCULINO,LESIONADO
2022.0,DITRA,CHOQUE,2022-01-22 00:00:00,,MAÑANA,SÁBADO,VIA PALMASECA EL CERRITO,KM 14 + 365 MTS,RURAL,POLICIA,,,NO MANTENER DISTANCIA SEGURIDAD,121,MOTOCICLISTA,62.0,MASCULINO,MUERTO
2022.0,8510.0,ATROPELLO,2022-01-24 00:00:00,,TARDE,LUNES,RECREO,CARRERA 26 CALLE 22,URBANA,TECNICO,,,CRUZAR SIN OBSERVAR,409.0,MOTOCICLISTA,19.0,MASCULINO,LESIONADO
2022.0,8510.0,ATROPELLO,2022-01-24 00:00:00,,TARDE,LUNES,RECREO,CARRERA 26 CALLE 22,URBANA,TECNICO,,,CRUZAR SIN OBSERVAR,409.0,PEATÓN,42.0,FEMENINO,LESIONADO
2022.0,8512.0,CHOQUE,2022-01-24 00:00:00,,TARDE,LUNES,CHAPINERO,CARRERA 30 CALLE 13,URBANA,TECNICO,,,DESOBEDECER SEÑAL DE PARE,112.0,MOTOCICLISTA,64.0,MASCULINO,LESIONADO
2022.0,8512.0,CHOQUE,2022-01-24 00:00:00,,TARDE,LUNES,CHAPINERO,CARRERA 30 CALLE 13,URBANA,TECNICO,,,DESOBEDECER SEÑAL DE PARE,112.0,MOTOCICLISTA,32.0,MASCULINO,LESIONADO
2022.0,8513.0,CHOQUE,2022-01-24 00:00:00,,MAÑANA,LUNES,AMERICAS,CALLE 18 CARRERA 24,URBANA,TECNICO,,,SEMAFORO EN ROJO,142.0,MOTOCICLISTA,24.0,FEMENINO,LESIONADO
2022.0,8513.0,CHOQUE,2022-01-24 00:00:00,,MAÑANA,LUNES,AMERICAS,CALLE 18 CARRERA 24,URBANA,TECNICO,,,SEMAFORO EN ROJO,142.0,NO APLICA,49.0,MASCULINO,NO APLICA
2022.0,8482.0,CHOQUE,2022-01-19 00:00:00,,TARDE,MIÉRCOLES,ITALIA,TRASVERSAL 8 DIAGONAL 28,URBANA,TECNICO,,,DESOBEDECER SEÑAL DE PARE,112.0,NO APLICA,26.0,MASCULINO,NO APLICA
2022.0,8482.0,CHOQUE,2022-01-19 00:00:00,,TARDE,MIÉRCOLES,ITALIA,TRASVERSAL 8 DIAGONAL 28,URBANA,TECNICO,,,DESOBEDECER SEÑAL DE PARE,112.0,MOTOCICLISTA,44.0,FEMENINO,LESIONADO
2022.0,8483.0,CHOQUE,2022-01-17 00:00:00,,TARDE,LUNES,BARRIO NUEVO,CARRERA 31 CALLE 18,URBANA,TECNICO,,,DESOBEDECER SEÑAL DE PARE,112.0,NO APLICA,44.0,MASCULINO,NO APLICA
2022.0,8483.0,CHOQUE,2022-01-17 00:00:00,,TARDE,LUNES,BARRIO NUEVO,CARRERA 31 CALLE 18,URBANA,TECNICO,,,DESOBEDECER SEÑAL DE PARE,112.0,ACOMPAÑANTE MOTOCICLISTA,34.0,FEMENINO,LESIONADO
2022.0,8483.0,CHOQUE,2022-01-17 00:00:00,,TARDE,LUNES,BARRIO NUEVO,CARRERA 31 CALLE 18,URBANA,TECNICO,,,DESOBEDECER SEÑAL DE PARE,112.0,NO APLICA,33.0,MASCULINO,NO APLICA
2022.0,8484.0,CHOQUE,2022-01-17 00:00:00,,TARDE,LUNES,VERSALLES,CALLE 44 CARRERA 27,URBANA,TECNICO,,,GIRAR BRUSCAMENTE,122.0,MOTOCICLISTA,24.0,MASCULINO,LESIONADO
2022.0,8484.0,CHOQUE,2022-01-17 00:00:00,,TARDE,LUNES,VERSALLES,CALLE 44 CARRERA 27,URBANA,TECNICO,,,GIRAR BRUSCAMENTE,122.0,NO APLICA,53.0,MASCULINO,NO APLICA
2022.0,8486.0,CHOQUE,2022-01-18 00:00:00,,TARDE,MARTES,URIBE,CALLE 32 CARRERA 23,URBANA,TECNICO,,,DESOBEDECER SEÑAL DE PARE,112.0,MOTOCICLISTA,21.0,MASCULINO,LESIONADO
2022.0,8486.0,CHOQUE,2022-01-18 00:00:00,,TARDE,MARTES,URIBE,CALLE 32 CARRERA 23,URBANA,TECNICO,,,DESOBEDECER SEÑAL DE PARE,112.0,NO APLICA,66.0,MASCULINO,NO APLICA
2022.0,8487.0,CHOQUE,2022-01-18 00:00:00,,TARDE,MARTES,LOS PINOS,CALLE 42 CARRERA 22,URBANA,TECNICO,,,NO MANTENER DISTANCIA SEGURIDAD,121.0,NO APLICA,54.0,MASCULINO,NO APLICA
2022.0,8487.0,CHOQUE,2022-01-18 00:00:00,,TARDE,MARTES,LOS PINOS,CALLE 42 CARRERA 22,URBANA,TECNICO,,,NO MANTENER DISTANCIA SEGURIDAD,121.0,MOTOCICLISTA,48.0,MASCULINO,LESIONADO
2022.0,8487.0,CHOQUE,2022-01-18 00:00:00,,TARDE,MARTES,LOS PINOS,CALLE 42 CARRERA 22,URBANA,TECNICO,,,NO MANTENER DISTANCIA SEGURIDAD,121.0,NO APLICA,71.0,MASCULINO,NO APLICA
2022.0,8488.0,CHOQUE,2022-01-18 00:00:00,,TARDE,MARTES,MERCEDES,CALLE 57 CARRERA 25,URBANA,TECNICO,,,SEMAFORO EN ROJO,142.0,MOTOCICLISTA,26.0,MASCULINO,LESIONADO
2022.0,8488.0,CHOQUE,2022-01-18 00:00:00,,TARDE,MARTES,MERCEDES,CALLE 57 CARRERA 25,URBANA,TECNICO,,,SEMAFORO EN ROJO,142.0,MOTOCICLISTA,43.0,MASCULINO,LESIONADO
2022.0,8489.0,CHOQUE,2022-01-18 00:00:00,,NOCHE,MARTES,COLOMBIA,CARRERA 33 CALLE 35,URBANA,TECNICO,,,GIRAR BRUSCAMENTE,122.0,NO APLICA,38.0,MASCULINO,NO APLICA
2022.0,8489.0,CHOQUE,2022-01-18 00:00:00,,NOCHE,MARTES,COLOMBIA,CARRERA 33 CALLE 35,URBANA,TECNICO,,,GIRAR BRUSCAMENTE,122.0,MOTOCICLISTA,26.0,MASCULINO,LESIONADO
2022.0,8495.0,CHOQUE,2022-01-19 00:00:00,,TARDE,MIÉRCOLES,RIVERA ESCOBAR,CALLE 31 CARRERA 35-33,URBANA,TECNICO,,,ADELANTAR ENTRE VEHICULOS,157.0,NO APLICA,47.0,MASCULINO,NO APLICA
2022.0,8495.0,CHOQUE,2022-01-19 00:00:00,,TARDE,MIÉRCOLES,RIVERA ESCOBAR,CALLE 31 CARRERA 35-33,URBANA,TECNICO,,,ADELANTAR ENTRE VEHICULOS,157.0,ACOMPAÑANTE MOTOCICLISTA,71.0,MASCULINO,LESIONADO
2022.0,8495.0,CHOQUE,2022-01-19 00:00:00,,TARDE,MIÉRCOLES,RIVERA ESCOBAR,CALLE 31 CARRERA 35-33,URBANA,TECNICO,,,ADELANTAR ENTRE VEHICULOS,157.0,NO APLICA,33.0,MASCULINO,NO APLICA
2022.0,8496.0,CHOQUE,2022-01-19 00:00:00,,TARDE,MIÉRCOLES,URIBE,CALLE 35 CARRERA 21,URBANA,TECNICO,,,ARRANCAR SIN PRECAUCION,145.0,MOTOCICLISTA,49.0,FEMENINO,LESIONADO
2022.0,8496.0,CHOQUE,2022-01-19 00:00:00,,TARDE,MIÉRCOLES,URIBE,CALLE 35 CARRERA 21,URBANA,TECNICO,,,ARRANCAR SIN PRECAUCION,145.0,ACOMPAÑANTE MOTOCICLISTA,12.0,FEMENINO,LESIONADO
2022.0,8496.0,CHOQUE,2022-01-19 00:00:00,,TARDE,MIÉRCOLES,URIBE,CALLE 35 CARRERA 21,URBANA,TECNICO,,,ARRANCAR SIN PRECAUCION,145.0,NO APLICA,50.0,FEMENINO,NO APLICA
2022.0,8497.0,CHOQUE,2022-01-19 00:00:00,,TARDE,MIÉRCOLES,ZAMORANO,CARRERA 28 CALLE 69-67,URBANA,TECNICO,,,GIRAR BRUSCAMENTE,122.0,MOTOCICLISTA,26.0,MASCULINO,LESIONADO
2022.0,8497.0,CHOQUE,2022-01-19 00:00:00,,TARDE,MIÉRCOLES,ZAMORANO,CARRERA 28 CALLE 69-67,URBANA,TECNICO,,,GIRAR BRUSCAMENTE,122.0,NO APLICA,54.0,MASCULINO,NO APLICA
2022.0,8498.0,CHOQUE,2022-01-20 00:00:00,,MAÑANA,JUEVES,SAN PEDRO,CALLE 37 CARRERA 15,URBANA,TECNICO,,,ADELANTAR POR LA DERECHA,102.0,MOTOCICLISTA,16.0,MASCULINO,MUERTO
2022.0,8498.0,CHOQUE,2022-01-20 00:00:00,,MAÑANA,JUEVES,SAN PEDRO,CALLE 37 CARRERA 15,URBANA,TECNICO,,,ADELANTAR POR LA DERECHA,102.0,MOTOCICLISTA,21.0,MASCULINO,LESIONADO
2022.0,8499.0,ATROPELLO,2022-01-20 00:00:00,,NOCHE,JUEVES,DELICIAS,CARRERA 24 CALLE 26-08,URBANA,TECNICO,,,CRUZAR SIN OBSERVAR,409.0,NO APLICA,34.0,MASCULINO,NO APLICA
2022.0,8499.0,ATROPELLO,2022-01-20 00:00:00,,NOCHE,JUEVES,DELICIAS,CARRERA 24 CALLE 26-08,URBANA,TECNICO,,,CRUZAR SIN OBSERVAR,409.0,PEATÓN,25.0,FEMENINO,LESIONADO
2022.0,8501.0,CHOQUE,2022-01-21 00:00:00,,MAÑANA,VIERNES,CONCORDIA,CARRERA 45 CALLE 39A,URBANA,TECNICO,,,DESOBEDECER SEÑAL DE PARE,112.0,ACOMPAÑANTE MOTOCICLISTA,14.0,FEMENINO,LESIONADO
2022.0,8501.0,CHOQUE,2022-01-21 00:00:00,,MAÑANA,VIERNES,CONCORDIA,CARRERA 45 CALLE 39A,URBANA,TECNICO,,,DESOBEDECER SEÑAL DE PARE,112.0,NO APLICA,65.0,MASCULINO,NO APLICA
2022.0,8501.0,CHOQUE,2022-01-21 00:00:00,,MAÑANA,VIERNES,CONCORDIA,CARRERA 45 CALLE 39A,URBANA,TECNICO,,,DESOBEDECER SEÑAL DE PARE,112.0,MOTOCICLISTA,33.0,FEMENINO,LESIONADO
2022.0,8508.0,CHOQUE,2022-01-23 00:00:00,,MAÑANA,DOMINGO,AMERICAS,CARRERA 24 CALLE 20,URBANA,TECNICO,,,GIRAR BRUSCAMENTE,122.0,MOTOCICLISTA,42.0,MASCULINO,LESIONADO
2022.0,8508.0,CHOQUE,2022-01-23 00:00:00,,MAÑANA,DOMINGO,AMERICAS,CARRERA 24 CALLE 20,URBANA,TECNICO,,,GIRAR BRUSCAMENTE,122.0,NO APLICA,40.0,MASCULINO,NO APLICA
2022.0,8504.0,CHOQUE,2022-01-22 00:00:00,,TARDE,SÁBADO,CENTRO,CALLE 27 CARRERA 33,URBANA,TECNICO,,,DESOBEDECER SEÑAL DE PARE,112.0,MOTOCICLISTA,33.0,MASCULINO,LESIONADO
2022.0,8504.0,CHOQUE,2022-01-22 00:00:00,,TARDE,SÁBADO,CENTRO,CALLE 27 CARRERA 33,URBANA,TECNICO,,,DESOBEDECER SEÑAL DE PARE,112.0,ACOMPAÑANTE MOTOCICLISTA,2.0,MASCULINO,LESIONADO
2022.0,8504.0,CHOQUE,2022-01-22 00:00:00,,TARDE,SÁBADO,CENTRO,CALLE 27 CARRERA 33,URBANA,TECNICO,,,DESOBEDECER SEÑAL DE PARE,112.0,ACOMPAÑANTE MOTOCICLISTA,32.0,FEMENINO,LESIONADO
2022.0,8504.0,CHOQUE,2022-01-22 00:00:00,,TARDE,SÁBADO,CENTRO,CALLE 27 CARRERA 33,URBANA,TECNICO,,,DESOBEDECER SEÑAL DE PARE,112.0,NO APLICA,73.0,MASCULINO,NO APLICA
2022.0,8509.0,CHOQUE,2022-01-23 00:00:00,,NOCHE,DOMINGO,JARDIN,CARRERA 1 CALLE 33,URBANA,TECNICO,,,NO RESPETAR PRELACIÓN,132.0,MOTOCICLISTA,43.0,FEMENINO,LESIONADO
2022.0,8509.0,CHOQUE,2022-01-23 00:00:00,,NOCHE,DOMINGO,JARDIN,CARRERA 1 CALLE 33,URBANA,TECNICO,,,NO RESPETAR PRELACIÓN,132.0,NO APLICA,33.0,MASCULINO,NO APLICA
2022.0,8509.0,CHOQUE,2022-01-23 00:00:00,,NOCHE,DOMINGO,JARDIN,CARRERA 1 CALLE 33,URBANA,TECNICO,,,NO RESPETAR PRELACIÓN,132.0,MOTOCICLISTA,27.0,MASCULINO,LESIONADO
2022.0,8518.0,CHOQUE,2022-01-25 00:00:00,,TARDE,MARTES,TREBOL,CALLE 26 CARRERA 21,URBANA,TECNICO,,,DESOBEDECER SEÑAL DE PARE,112.0,MOTOCICLISTA,16.0,MASCULINO,LESIONADO
2022.0,8518.0,CHOQUE,2022-01-25 00:00:00,,TARDE,MARTES,TREBOL,CALLE 26 CARRERA 21,URBANA,TECNICO,,,DESOBEDECER SEÑAL DE PARE,112.0,NO APLICA,23.0,FEMENINO,NO APLICA
2022.0,8526.0,CHOQUE,2022-01-28 00:00:00,,TARDE,VIERNES,URIBE,CALLE 33 CARRERA 21,URBANA,TECNICO,,,DESOBEDECER SEÑAL DE PARE,112.0,NO APLICA,54.0,MASCULINO,NO APLICA
2022.0,8526.0,CHOQUE,2022-01-28 00:00:00,,TARDE,VIERNES,URIBE,CALLE 33 CARRERA 21,URBANA,TECNICO,,,DESOBEDECER SEÑAL DE PARE,112.0,MOTOCICLISTA,53.0,MASCULINO,LESIONADO
2022.0,8524.0,CHOQUE,2022-01-28 00:00:00,,MAÑANA,VIERNES,SAN PEDRO,CARRERA 19 CALLE 39,URBANA,TECNICO,,,FRENAR BRUSCAMENTE,119.0,NO APLICA,22.0,MASCULINO,NO APLICA
2022.0,8524.0,CHOQUE,2022-01-28 00:00:00,,MAÑANA,VIERNES,SAN PEDRO,CARRERA 19 CALLE 39,URBANA,TECNICO,,,FRENAR BRUSCAMENTE,119.0,MOTOCICLISTA,27.0,MASCULINO,LESIONADO
2022.0,8523.0,CHOQUE,2022-01-27 00:00:00,,TARDE,JUEVES,BIZERTA,CALLE 36 CARRERA 21,URBANA,TECNICO,,,DESOBEDECER SEÑAL DE PARE,112.0,MOTOCICLISTA,23.0,MASCULINO,LESIONADO
2022.0,8523.0,CHOQUE,2022-01-27 00:00:00,,TARDE,JUEVES,BIZERTA,CALLE 36 CARRERA 21,URBANA,TECNICO,,,DESOBEDECER SEÑAL DE PARE,112.0,NO APLICA,43.0,MASCULINO,NO APLICA
2022.0,8522.0,CHOQUE,2022-01-26 00:00:00,,NOCHE,MIÉRCOLES,MUNICIPAL,CARRERA 1 CALLE 31A-32,URBANA,TECNICO,,,ADELANTAR ZONA PROHIBIDAD,105.0,MOTOCICLISTA,28.0,MASCULINO,LESIONADO
2022.0,8522.0,CHOQUE,2022-01-26 00:00:00,,NOCHE,MIÉRCOLES,MUNICIPAL,CARRERA 1 CALLE 31A-32,URBANA,TECNICO,,,ADELANTAR ZONA PROHIBIDAD,105.0,MOTOCICLISTA,23.0,MASCULINO,LESIONADO
2022.0,8521.0,CHOQUE,2022-01-26 00:00:00,,TARDE,MIÉRCOLES,SAN PEDRO,CARRERA 19 CALLE 37,URBANA,TECNICO,,,GIRAR EN U,146.0,NO APLICA,28.0,MASCULINO,NO APLICA
2022.0,8521.0,CHOQUE,2022-01-26 00:00:00,,TARDE,MIÉRCOLES,SAN PEDRO,CARRERA 19 CALLE 37,URBANA,TECNICO,,,GIRAR EN U,146.0,MOTOCICLISTA,51.0,MASCULINO,LESIONADO
2022.0,8516.0,CHOQUE,2022-01-26 00:00:00,,TARDE,MIÉRCOLES,COLOMBIA,CARRERA 33 CALLE 35,URBANA,TECNICO,,,DESOBEDECER SEÑAL DE PARE,157.0,MOTOCICLISTA,30.0,MASCULINO,LESIONADO
2022.0,8516.0,CHOQUE,2022-01-26 00:00:00,,TARDE,MIÉRCOLES,COLOMBIA,CARRERA 33 CALLE 35,URBANA,TECNICO,,,DESOBEDECER SEÑAL DE PARE,157.0,NO APLICA,39.0,MASCULINO,NO APLICA
2022.0,8529.0,VOLCAMIENTO,2022-01-29 00:00:00,,MADRUGADA,SÁBADO,MIRRIÑAO,CARRERA 28 CALLE 53 -54,URBANA,TECNICO,,,FALLAS EN EL VEHICULO,217.0,ACOMPAÑANTE MOTOCICLISTA,18.0,FEMENINO,LESIONADO
2022.0,8529.0,VOLCAMIENTO,2022-01-29 00:00:00,,MADRUGADA,SÁBADO,MIRRIÑAO,CARRERA 28 CALLE 53 -54,URBANA,TECNICO,,,FALLAS EN EL VEHICULO,217.0,MOTOCICLISTA,23.0,MASCULINO,LESIONADO
2022.0,8557.0,CHOQUE,2022-02-08 00:00:00,,MADRUGADA,MARTES,BARRIO NUEVO,CALLE 23 CARRERA 33A,URBANA,TECNICO,,,NO RESPETAR PRELACIÓN,132.0,NO APLICA,53.0,MASCULINO,NO APLICA
2022.0,8557.0,CHOQUE,2022-02-08 00:00:00,,MADRUGADA,MARTES,BARRIO NUEVO,CALLE 23 CARRERA 33A,URBANA,TECNICO,,,NO RESPETAR PRELACIÓN,132.0,ACOMPAÑANTE MOTOCICLISTA,34.0,MASCULINO,LESIONADO
